location,origin_date,target_date,output_type_id,value,output_type,target
SnJ_S,2025-06-30,2025-11-30,0,0.7404962799592372,cdf,No WNV activity
SnJ_S,2025-06-30,2025-12-31,0.01,0.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0.05,0.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0.1,0.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0.15,0.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0.2,0.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0.25,0.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0.3,0.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0.35,0.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0.4,0.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0.45,0.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0.5,0.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0.55,0.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0.6,0.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0.65,0.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0.7,0.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0.75,0.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0.8,0.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0.85,0.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0.9,0.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0.95,1.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0.99,2.0,quantile,WNV cases
SnJ_S,2025-06-30,2025-12-31,0,0.9243976607636425,cdf,No WNV activity
